"","month","Mean"
"1","01-01",71.3477777777778
"2","01-02",71.0677777777778
"3","01-03",70.6222222222222
"4","01-04",70.1588888888889
"5","01-05",69.6744444444444
"6","01-06",69.18
"7","01-07",68.64
"8","01-08",68.0933333333333
"9","01-09",67.5588888888889
"10","01-10",67.0466666666667
"11","01-11",66.5266666666667
"12","01-12",66.0377777777778
"13","01-13",65.5377777777778
"14","01-14",64.8355555555556
"15","01-15",64.3155555555556
"16","01-16",63.6888888888889
"17","01-17",63.0422222222222
"18","01-18",62.36
"19","01-19",61.6877777777778
"20","01-20",61.03
"21","01-21",60.3655555555556
"22","01-22",59.6877777777778
"23","01-23",58.9977777777778
"24","01-24",58.3733333333333
"25","01-25",57.7411111111111
"26","01-26",57.1633333333333
"27","01-27",56.5933333333333
"28","01-28",56.0233333333333
"29","01-29",55.4622222222222
"30","01-30",54.9211111111111
"31","01-31",54.3922222222222
"32","02-01",53.9322222222222
"33","02-02",53.4277777777778
"34","02-03",52.98
"35","02-04",52.5188888888889
"36","02-05",51.9733333333333
"37","02-06",51.4066666666667
"38","02-07",50.88
"39","02-08",50.3222222222222
"40","02-09",49.7788888888889
"41","02-10",49.24
"42","02-11",48.6744444444444
"43","02-12",48.09
"44","02-13",47.5166666666667
"45","02-14",47.0011111111111
"46","02-15",46.5433333333333
"47","02-16",46.1255555555556
"48","02-17",45.6766666666667
"49","02-18",45.28
"50","02-19",44.8555555555556
"51","02-20",44.4266666666667
"52","02-21",43.9366666666667
"53","02-22",43.5577777777778
"54","02-23",43.1788888888889
"55","02-24",42.7811111111111
"56","02-25",42.3566666666667
"57","02-26",41.9144444444444
"58","02-27",41.4755555555556
"59","02-28",41.04
"60","02-29",52.28
"61","03-01",40.6044444444444
"62","03-02",40.2366666666667
"63","03-03",39.8722222222222
"64","03-04",39.5188888888889
"65","03-05",39.18
"66","03-06",38.8688888888889
"67","03-07",38.5388888888889
"68","03-08",38.3233333333333
"69","03-09",38.08
"70","03-10",37.8811111111111
"71","03-11",37.6766666666667
"72","03-12",37.4777777777778
"73","03-13",37.2011111111111
"74","03-14",36.9655555555556
"75","03-15",36.7422222222222
"76","03-16",36.5388888888889
"77","03-17",36.3311111111111
"78","03-18",36.0933333333333
"79","03-19",35.8677777777778
"80","03-20",35.6511111111111
"81","03-21",35.4588888888889
"82","03-22",35.2666666666667
"83","03-23",35.0611111111111
"84","03-24",34.8788888888889
"85","03-25",34.7266666666667
"86","03-26",34.5644444444444
"87","03-27",34.4111111111111
"88","03-28",34.3166666666667
"89","03-29",34.2544444444444
"90","03-30",34.2377777777778
"91","03-31",34.21
"92","04-01",34.5466666666667
"93","04-02",34.5477777777778
"94","04-03",34.5622222222222
"95","04-04",34.6155555555556
"96","04-05",34.6511111111111
"97","04-06",34.7844444444444
"98","04-07",34.8766666666667
"99","04-08",34.9355555555556
"100","04-09",34.9355555555556
"101","04-10",35.0344444444444
"102","04-11",35.1488888888889
"103","04-12",35.0188888888889
"104","04-13",35.1111111111111
"105","04-14",35.1044444444444
"106","04-15",35.3744444444444
"107","04-16",35.5288888888889
"108","04-17",35.72
"109","04-18",35.9288888888889
"110","04-19",36.1311111111111
"111","04-20",36.3388888888889
"112","04-21",36.5955555555556
"113","04-22",36.7944444444444
"114","04-23",37.1033333333333
"115","04-24",37.3544444444444
"116","04-25",37.5522222222222
"117","04-26",37.7822222222222
"118","04-27",37.9633333333333
"119","04-28",38.1311111111111
"120","04-29",38.3111111111111
"121","04-30",38.5066666666667
"122","05-01",38.8088888888889
"123","05-02",39.0711111111111
"124","05-03",39.3366666666667
"125","05-04",39.5988888888889
"126","05-05",39.8788888888889
"127","05-06",40.1411111111111
"128","05-07",40.4344444444444
"129","05-08",40.7455555555556
"130","05-09",41.0855555555556
"131","05-10",41.4922222222222
"132","05-11",41.8244444444444
"133","05-12",42.1333333333333
"134","05-13",42.4288888888889
"135","05-14",42.7422222222222
"136","05-15",43.0277777777778
"137","05-16",43.34
"138","05-17",43.6566666666667
"139","05-18",43.9777777777778
"140","05-19",44.25
"141","05-20",44.5811111111111
"142","05-21",44.9322222222222
"143","05-22",45.2811111111111
"144","05-23",45.6288888888889
"145","05-24",45.9744444444444
"146","05-25",46.23
"147","05-26",46.6844444444444
"148","05-27",47.0144444444444
"149","05-28",47.3355555555556
"150","05-29",47.6655555555556
"151","05-30",47.8722222222222
"152","05-31",48.2333333333333
"153","06-01",48.6666666666667
"154","06-02",49.04
"155","06-03",49.3977777777778
"156","06-04",49.7566666666667
