"","month","Max"
"1","01-01",86.88
"2","01-02",87.54
"3","01-03",87.14
"4","01-04",86.77
"5","01-05",86.37
"6","01-06",85.85
"7","01-07",85.28
"8","01-08",84.75
"9","01-09",84.25
"10","01-10",83.82
"11","01-11",83.39
"12","01-12",82.97
"13","01-13",82.46
"14","01-14",80.89
"15","01-15",81.4
"16","01-16",80.84
"17","01-17",80.28
"18","01-18",79.73
"19","01-19",79.12
"20","01-20",78.43
"21","01-21",77.66
"22","01-22",76.9
"23","01-23",76.16
"24","01-24",75.42
"25","01-25",74.81
"26","01-26",74.28
"27","01-27",73.67
"28","01-28",72.94
"29","01-29",72.3
"30","01-30",71.87
"31","01-31",71.37
"32","02-01",71.19
"33","02-02",70.99
"34","02-03",70.62
"35","02-04",70.16
"36","02-05",69.61
"37","02-06",68.98
"38","02-07",68.47
"39","02-08",68.07
"40","02-09",67.78
"41","02-10",67.44
"42","02-11",67.06
"43","02-12",66.48
"44","02-13",65.95
"45","02-14",65.52
"46","02-15",65.32
"47","02-16",65.17
"48","02-17",64.85
"49","02-18",64.47
"50","02-19",64.05
"51","02-20",63.7
"52","02-21",63.34
"53","02-22",63.12
"54","02-23",62.96
"55","02-24",62.66
"56","02-25",62.34
"57","02-26",61.83
"58","02-27",61.28
"59","02-28",60.83
"60","02-29",60.62
"61","03-01",60.41
"62","03-02",59.97
"63","03-03",59.55
"64","03-04",59.13
"65","03-05",58.67
"66","03-06",58.31
"67","03-07",58.12
"68","03-08",57.98
"69","03-09",57.66
"70","03-10",57.42
"71","03-11",57.27
"72","03-12",57.14
"73","03-13",56.91
"74","03-14",56.76
"75","03-15",56.71
"76","03-16",56.54
"77","03-17",56.37
"78","03-18",56.27
"79","03-19",56.17
"80","03-20",56.12
"81","03-21",56.01
"82","03-22",55.93
"83","03-23",55.68
"84","03-24",55.45
"85","03-25",55.18
"86","03-26",54.94
"87","03-27",54.81
"88","03-28",54.82
"89","03-29",54.68
"90","03-30",54.48
"91","03-31",54.17
"92","04-01",54.35
"93","04-02",54.32
"94","04-03",54.32
"95","04-04",54.48
"96","04-05",54.7
"97","04-06",54.97
"98","04-07",55.19
"99","04-08",55.46
"100","04-09",55.78
"101","04-10",56.13
"102","04-11",56.53
"103","04-12",56.99
"104","04-13",57.26
"105","04-14",57.53
"106","04-15",57.74
"107","04-16",58.03
"108","04-17",58.34
"109","04-18",58.72
"110","04-19",59.12
"111","04-20",59.39
"112","04-21",59.73
"113","04-22",59.48
"114","04-23",60.39
"115","04-24",60.74
"116","04-25",61.12
"117","04-26",61.48
"118","04-27",61.77
"119","04-28",62.03
"120","04-29",62.35
"121","04-30",62.65
"122","05-01",63.45
"123","05-02",63.81
"124","05-03",64.16
