"","gasDayStart","gasInStorage","full","trend","injection","withdrawal","workingGasVolume","injectionCapacity","withdrawalCapacity","year","month"
"2080","2016-12-31",706.9782,63.5,-0.51,662.44,6309.4,1113.3829,11883.78,19948.2,"2016","12-31"
"2081","2016-12-30",712.2088,63.97,-0.56,545.95,6816.6,1113.3829,11958.59,20041.03,"2016","12-30"
"2082","2016-12-29",718.5105,64.53,-0.55,176.73,6354.3,1113.3829,11957.91,20043.14,"2016","12-29"
"2083","2016-12-28",724.7382,65.09,-0.49,223.62,5730.8,1113.3829,11957.12,20045.25,"2016","12-28"
"2084","2016-12-27",730.3189,65.59,-0.43,338.12,5086.4,1113.3829,11956.41,20047.31,"2016","12-27"
"2085","2016-12-26",735.1148,66.03,-0.22,833.51,3248.1,1113.3829,11955.97,20048.57,"2016","12-26"
"2086","2016-12-25",737.568,66.25,-0.13,1242.95,2667.1,1113.3853,11955.8,20049.15,"2016","12-25"
"2087","2016-12-24",738.9783,66.37,-0.25,871.08,3659,1113.3853,11955.22,20050.69,"2016","12-24"
"2088","2016-12-23",741.7869,66.62,-0.47,311.78,5577.9,1113.3853,11954.47,20052.72,"2016","12-23"
"2089","2016-12-22",747.116,67.1,-0.57,177.31,6546.7,1113.3853,11953.73,20054.97,"2016","12-22"
"2090","2016-12-21",753.5699,67.68,-0.63,183.74,7203.4,1113.3853,11952.84,20057.59,"2016","12-21"
"2091","2016-12-20",760.6692,68.32,-0.72,108.63,8094.3,1113.3853,11951.87,20060.49,"2016","12-20"
"2092","2016-12-19",768.7214,69.04,-0.67,118.83,7532.1,1113.3853,11950.98,20063.11,"2016","12-19"
"2093","2016-12-18",776.1948,69.72,-0.49,253.1,5705.2,1113.3718,11949.91,20065.38,"2016","12-18"
"2094","2016-12-17",781.6922,70.21,-0.51,253.15,5913.4,1113.3718,11948.93,20068.24,"2016","12-17"
"2095","2016-12-16",787.4158,70.72,-0.61,140.71,6909.2,1113.3718,11948.19,20070.51,"2016","12-16"
"2096","2016-12-15",794.2275,71.34,-0.6,112.76,6762.1,1113.3718,11947.73,20072.05,"2016","12-15"
"2097","2016-12-14",800.953,71.94,-0.57,155.55,6491.4,1113.3718,11947.79,19545.62,"2016","12-14"
"2098","2016-12-13",807.3614,72.51,-0.56,265.16,6546.4,1113.3718,11947.87,19545.62,"2016","12-13"
"2099","2016-12-12",813.705,73.08,-0.55,143.63,6303.6,1113.3718,11947.93,19545.62,"2016","12-12"
"2100","2016-12-11",820.0099,73.65,-0.33,506.39,4174.5,1113.4021,11948.37,19546.3,"2016","12-11"
"2101","2016-12-10",823.7354,73.98,-0.34,613.51,4415.1,1113.4021,11948.33,19758.12,"2016","12-10"
"2102","2016-12-09",827.6081,74.33,-0.46,342.25,5476.1,1113.4021,11948.13,19691.21,"2016","12-09"
"2103","2016-12-08",832.8186,74.8,-0.52,348.21,6113.5,1113.4021,11947.53,20075.26,"2016","12-08"
"2104","2016-12-07",838.6364,75.32,-0.63,216.46,7235.7,1113.4021,11946.63,20078.07,"2016","12-07"
"2105","2016-12-06",845.7372,75.96,-0.72,201.79,8219.6,1113.4021,11945.73,20080.9,"2016","12-06"
"2106","2016-12-05",853.9338,76.7,-0.73,156.21,8273.6,1113.4021,11944.85,20083.67,"2016","12-05"
"2107","2016-12-04",862.1026,77.43,-0.54,228.27,6209,1113.3458,11943.19,20085.12,"2016","12-04"
"2108","2016-12-03",868.1434,77.98,-0.49,326.56,5836.2,1113.3458,11942.35,20087.6,"2016","12-03"
"2109","2016-12-02",873.7437,78.48,-0.58,180.47,6585.9,1113.3458,11941.59,20089.69,"2016","12-02"
"2110","2016-12-01",880.2225,79.06,-0.61,218.32,7030.7,1113.3458,11940.67,20092.25,"2016","12-01"
"2111","2016-11-30",886.638,79.67,-0.71,239.7,8105,1112.9258,11939.82,20099.97,"2016","11-30"
"2112","2016-11-29",894.6936,80.39,-0.71,190.45,8102.5,1112.9258,11868.36,19794.38,"2016","11-29"
"2113","2016-11-28",902.6811,81.11,-0.54,160.02,6201.9,1112.9258,11867.8,19746.31,"2016","11-28"
"2114","2016-11-27",908.8039,81.66,-0.28,393.99,3476.7,1112.9404,11867.46,19767.05,"2016","11-27"
"2115","2016-11-26",911.8454,81.93,-0.29,348.19,3614.4,1112.9404,11937.49,20124.67,"2016","11-26"
"2116","2016-11-25",915.1861,82.23,-0.39,191.44,4489.1,1112.9404,11936.5,20127.47,"2016","11-25"
"2117","2016-11-24",919.4914,82.62,-0.31,190.21,3637,1112.9404,11935.66,20129.76,"2016","11-24"
"2118","2016-11-23",922.9502,82.93,-0.29,169.6,3365.6,1112.9404,11935.01,20131.51,"2016","11-23"
"2119","2016-11-22",926.2056,83.22,-0.23,317.81,2861.3,1112.9404,11934.68,20132.44,"2016","11-22"
"2120","2016-11-21",928.7769,83.45,-0.21,480.37,2871.2,1112.9404,11959.19,20130.76,"2016","11-21"
"2121","2016-11-20",931.1691,83.67,-0.16,469.13,2272.7,1112.941,11958.75,20132.05,"2016","11-20"
"2122","2016-11-19",933.0277,83.83,-0.22,269.67,2710.9,1112.941,11958.21,20133.55,"2016","11-19"
"2123","2016-11-18",935.5248,84.06,-0.3,198.94,3569.6,1112.941,11957.49,20135.45,"2016","11-18"
"2124","2016-11-17",939.0254,84.37,-0.31,369.81,3861.8,1112.941,11931.89,20140.08,"2016","11-17"
"2125","2016-11-16",942.5259,84.69,-0.32,465.61,4069.3,1112.941,11931.44,20141.42,"2016","11-16"
"2126","2016-11-15",946.2423,85.02,-0.42,421.49,5068.3,1112.941,11930.8,20143.48,"2016","11-15"
"2127","2016-11-14",950.9638,85.45,-0.46,441.81,5616.5,1112.941,11930.15,20145.72,"2016","11-14"
"2128","2016-11-13",956.0636,85.91,-0.32,407.48,4007.1,1112.929,11954.59,20013.49,"2016","11-13"
"2129","2016-11-12",959.7589,86.24,-0.33,311.67,4023.6,1112.929,11954.12,19883.84,"2016","11-12"
"2130","2016-11-11",963.8936,86.61,-0.42,206.78,4838.7,1112.929,11953.62,19884.78,"2016","11-11"
"2131","2016-11-10",968.0916,86.99,-0.44,296,5227.9,1112.929,11953.25,19827.1,"2016","11-10"
"2132","2016-11-09",973.17,87.44,-0.5,194.98,5771.2,1112.929,11952.55,19816.66,"2016","11-09"
